Date,Sales,GDP,Unemployment,Population,Popularity
25-08-2010,2668,1675.62,5.55%,"1,24,06,13,620",21.25
26-08-2010,1350,1675.62,5.55%,"1,24,06,13,620",21.25
27-08-2010,7841,1675.62,5.55%,"1,24,06,13,620",21.25
28-08-2010,586,1675.62,5.55%,"1,24,06,13,620",21.25
29-08-2010,2003,1675.62,5.55%,"1,24,06,13,620",21.25
31-08-2010,2564,1675.62,5.55%,"1,24,06,13,620",21.25
01-09-2010,3532,1675.62,5.55%,"1,24,06,13,620",21.25
02-09-2010,519,1675.62,5.55%,"1,24,06,13,620",21.25
03-09-2010,2957,1675.62,5.55%,"1,24,06,13,620",21.25
04-09-2010,5478,1675.62,5.55%,"1,24,06,13,620",21.25
05-09-2010,5010,1675.62,5.55%,"1,24,06,13,620",21.25
06-09-2010,3027,1675.62,5.55%,"1,24,06,13,620",21.25
07-09-2010,867,1675.62,5.55%,"1,24,06,13,620",21.25
08-09-2010,4198,1675.62,5.55%,"1,24,06,13,620",21.25
09-09-2010,2107,1675.62,5.55%,"1,24,06,13,620",21.25
10-09-2010,3807,1675.62,5.55%,"1,24,06,13,620",21.25
11-09-2010,1949,1675.62,5.55%,"1,24,06,13,620",21.25
12-09-2010,2923,1675.62,5.55%,"1,24,06,13,620",21.25
13-09-2010,2111,1675.62,5.55%,"1,24,06,13,620",21.25
14-09-2010,3179,1675.62,5.55%,"1,24,06,13,620",21.25
15-09-2010,6653,1675.62,5.55%,"1,24,06,13,620",21.25
16-09-2010,4008,1675.62,5.55%,"1,24,06,13,620",21.25
17-09-2010,6950,1675.62,5.55%,"1,24,06,13,620",21.25
18-09-2010,1284,1675.62,5.55%,"1,24,06,13,620",21.25
19-09-2010,949,1675.62,5.55%,"1,24,06,13,620",21.25
20-09-2010,5573,1675.62,5.55%,"1,24,06,13,620",21.25
21-09-2010,7043,1675.62,5.55%,"1,24,06,13,620",21.25
22-09-2010,4505,1675.62,5.55%,"1,24,06,13,620",21.25
23-09-2010,2073,1675.62,5.55%,"1,24,06,13,620",21.25
24-09-2010,4845,1675.62,5.55%,"1,24,06,13,620",21.25
25-09-2010,4094,1675.62,5.55%,"1,24,06,13,620",21.25
26-09-2010,3953,1675.62,5.55%,"1,24,06,13,620",21.25
27-09-2010,2596,1675.62,5.55%,"1,24,06,13,620",21.25
28-09-2010,1068,1675.62,5.55%,"1,24,06,13,620",21.25
29-09-2010,5110,1675.62,5.55%,"1,24,06,13,620",21.25
30-09-2010,7642,1675.62,5.55%,"1,24,06,13,620",21.25
31-9-2010,4986,1675.62,5.55%,"1,24,06,13,620",21.25
01-10-2010,4430,1675.62,5.55%,"1,24,06,13,620",21.25
02-10-2010,758,1675.62,5.55%,"1,24,06,13,620",21.25
03-10-2010,7257,1675.62,5.55%,"1,24,06,13,620",21.25
04-10-2010,4152,1675.62,5.55%,"1,24,06,13,620",21.25
05-10-2010,2994,1675.62,5.55%,"1,24,06,13,620",21.25
06-10-2010,3527,1675.62,5.55%,"1,24,06,13,620",21.25
07-10-2010,387,1675.62,5.55%,"1,24,06,13,620",21.25
08-10-2010,5205,1675.62,5.55%,"1,24,06,13,620",21.25
09-10-2010,854,1675.62,5.55%,"1,24,06,13,620",21.25
10-10-2010,7329,1675.62,5.55%,"1,24,06,13,620",21.25
11-10-2010,6253,1675.62,5.55%,"1,24,06,13,620",21.25
12-10-2010,5431,1675.62,5.55%,"1,24,06,13,620",21.25
13-10-2010,5041,1675.62,5.55%,"1,24,06,13,620",21.25
14-10-2010,7259,1675.62,5.55%,"1,24,06,13,620",21.25
15-10-2010,3736,1675.62,5.55%,"1,24,06,13,620",21.25
16-10-2010,6013,1675.62,5.55%,"1,24,06,13,620",21.25
17-10-2010,2772,1675.62,5.55%,"1,24,06,13,620",21.25
18-10-2010,1723,1675.62,5.55%,"1,24,06,13,620",21.25
19-10-2010,1185,1675.62,5.55%,"1,24,06,13,620",21.25
20-10-2010,6476,1675.62,5.55%,"1,24,06,13,620",21.25
21-10-2010,3985,1675.62,5.55%,"1,24,06,13,620",21.25
22-10-2010,573,1675.62,5.55%,"1,24,06,13,620",21.25
23-10-2010,5880,1675.62,5.55%,"1,24,06,13,620",21.25
24-10-2010,6149,1675.62,5.55%,"1,24,06,13,620",21.25
25-10-2010,6080,1675.62,5.55%,"1,24,06,13,620",21.25
26-10-2010,7940,1675.62,5.55%,"1,24,06,13,620",21.25
27-10-2010,828,1675.62,5.55%,"1,24,06,13,620",21.25
28-10-2010,5866,1675.62,5.55%,"1,24,06,13,620",21.25
29-10-2010,4721,1675.62,5.55%,"1,24,06,13,620",21.25
30-10-2010,5506,1675.62,5.55%,"1,24,06,13,620",21.25
01-11-2010,3975,1675.62,5.55%,"1,24,06,13,620",21.25
02-11-2010,1498,1675.62,5.55%,"1,24,06,13,620",21.25
03-11-2010,6869,1675.62,5.55%,"1,24,06,13,620",21.25
04-11-2010,6130,1675.62,5.55%,"1,24,06,13,620",21.25
05-11-2010,7366,1675.62,5.55%,"1,24,06,13,620",21.25
06-11-2010,4671,1675.62,5.55%,"1,24,06,13,620",21.25
07-11-2010,1719,1675.62,5.55%,"1,24,06,13,620",21.25
08-11-2010,4330,1675.62,5.55%,"1,24,06,13,620",21.25
09-11-2010,2633,1675.62,5.55%,"1,24,06,13,620",21.25
10-11-2010,1708,1675.62,5.55%,"1,24,06,13,620",21.25
11-11-2010,833,1675.62,5.55%,"1,24,06,13,620",21.25
12-11-2010,5185,1675.62,5.55%,"1,24,06,13,620",21.25
13-11-2010,4865,1675.62,5.55%,"1,24,06,13,620",21.25
14-11-2010,302,1675.62,5.55%,"1,24,06,13,620",21.25
15-11-2010,7506,1675.62,5.55%,"1,24,06,13,620",21.25
16-11-2010,948,1675.62,5.55%,"1,24,06,13,620",21.25
17-11-2010,2047,1675.62,5.55%,"1,24,06,13,620",21.25
18-11-2010,3100,1675.62,5.55%,"1,24,06,13,620",21.25
19-11-2010,6094,1675.62,5.55%,"1,24,06,13,620",21.25
20-11-2010,3837,1675.62,5.55%,"1,24,06,13,620",21.25
21-11-2010,7427,1675.62,5.55%,"1,24,06,13,620",21.25
22-11-2010,2324,1675.62,5.55%,"1,24,06,13,620",21.25
23-11-2010,648,1675.62,5.55%,"1,24,06,13,620",21.25
24-11-2010,2555,1675.62,5.55%,"1,24,06,13,620",21.25
25-11-2010,1969,1675.62,5.55%,"1,24,06,13,620",21.25
26-11-2010,398,1675.62,5.55%,"1,24,06,13,620",21.25
27-11-2010,4036,1675.62,5.55%,"1,24,06,13,620",21.25
28-11-2010,1804,1675.62,5.55%,"1,24,06,13,620",21.25
29-11-2010,6997,1675.62,5.55%,"1,24,06,13,620",21.25
30-11-2010,1655,1675.62,5.55%,"1,24,06,13,620",21.25
31-11-2010,4632,1675.62,5.55%,"1,24,06,13,620",21.25
01-12-2010,1736,1675.62,5.55%,"1,24,06,13,620",21.25
02-12-2010,6374,1675.62,5.55%,"1,24,06,13,620",21.25
03-12-2010,969,1675.62,5.55%,"1,24,06,13,620",21.25
04-12-2010,3556,1675.62,5.55%,"1,24,06,13,620",21.25
05-12-2010,1596,1675.62,5.55%,"1,24,06,13,620",21.25
06-12-2010,5138,1675.62,5.55%,"1,24,06,13,620",21.25
07-12-2010,6821,1675.62,5.55%,"1,24,06,13,620",21.25
08-12-2010,5877,1675.62,5.55%,"1,24,06,13,620",21.25
09-12-2010,5135,1675.62,5.55%,"1,24,06,13,620",21.25
10-12-2010,5244,1675.62,5.55%,"1,24,06,13,620",21.25
11-12-2010,2610,1675.62,5.55%,"1,24,06,13,620",21.25
12-12-2010,4116,1675.62,5.55%,"1,24,06,13,620",21.25
13-12-2010,5843,1675.62,5.55%,"1,24,06,13,620",21.25
14-12-2010,5274,1675.62,5.55%,"1,24,06,13,620",21.25
15-12-2010,2143,1675.62,5.55%,"1,24,06,13,620",21.25
16-12-2010,7014,1675.62,5.55%,"1,24,06,13,620",21.25
17-12-2010,4408,1675.62,5.55%,"1,24,06,13,620",21.25
18-12-2010,5578,1675.62,5.55%,"1,24,06,13,620",21.25
19-12-2010,5930,1675.62,5.55%,"1,24,06,13,620",21.25
20-12-2010,3619,1675.62,5.55%,"1,24,06,13,620",21.25
21-12-2010,575,1675.62,5.55%,"1,24,06,13,620",21.25
22-12-2010,7064,1675.62,5.55%,"1,24,06,13,620",21.25
23-12-2010,651,1675.62,5.55%,"1,24,06,13,620",21.25
24-12-2010,5006,1675.62,5.55%,"1,24,06,13,620",21.25
25-12-2010,374,1675.62,5.55%,"1,24,06,13,620",21.25
26-12-2010,3398,1675.62,5.55%,"1,24,06,13,620",21.25
27-12-2010,7935,1675.62,5.55%,"1,24,06,13,620",21.25
28-12-2010,2801,1675.62,5.55%,"1,24,06,13,620",21.25
29-12-2010,6443,1675.62,5.55%,"1,24,06,13,620",21.25
30-12-2010,6216,1675.62,5.55%,"1,24,06,13,620",21.25
01-01-2011,281,1823.05,5.43%,"1,25,76,21,191",14.33
02-01-2011,7665,1823.05,5.43%,"1,25,76,21,191",14.33
03-01-2011,937,1823.05,5.43%,"1,25,76,21,191",14.33
04-01-2011,6378,1823.05,5.43%,"1,25,76,21,191",14.33
05-01-2011,731,1823.05,5.43%,"1,25,76,21,191",14.33
06-01-2011,2032,1823.05,5.43%,"1,25,76,21,191",14.33
07-01-2011,1514,1823.05,5.43%,"1,25,76,21,191",14.33
08-01-2011,410,1823.05,5.43%,"1,25,76,21,191",14.33
09-01-2011,489,1823.05,5.43%,"1,25,76,21,191",14.33
10-01-2011,1326,1823.05,5.43%,"1,25,76,21,191",14.33
11-01-2011,2535,1823.05,5.43%,"1,25,76,21,191",14.33
12-01-2011,351,1823.05,5.43%,"1,25,76,21,191",14.33
13-01-2011,2480,1823.05,5.43%,"1,25,76,21,191",14.33
14-01-2011,408,1823.05,5.43%,"1,25,76,21,191",14.33
15-01-2011,2428,1823.05,5.43%,"1,25,76,21,191",14.33
16-01-2011,1593,1823.05,5.43%,"1,25,76,21,191",14.33
17-01-2011,5324,1823.05,5.43%,"1,25,76,21,191",14.33
18-01-2011,2623,1823.05,5.43%,"1,25,76,21,191",14.33
19-01-2011,3082,1823.05,5.43%,"1,25,76,21,191",14.33
20-01-2011,562,1823.05,5.43%,"1,25,76,21,191",14.33
21-01-2011,7642,1823.05,5.43%,"1,25,76,21,191",14.33
22-01-2011,4351,1823.05,5.43%,"1,25,76,21,191",14.33
23-01-2011,6487,1823.05,5.43%,"1,25,76,21,191",14.33
24-01-2011,2604,1823.05,5.43%,"1,25,76,21,191",14.33
25-01-2011,7652,1823.05,5.43%,"1,25,76,21,191",14.33
26-01-2011,295,1823.05,5.43%,"1,25,76,21,191",14.33
27-01-2011,1486,1823.05,5.43%,"1,25,76,21,191",14.33
28-01-2011,2002,1823.05,5.43%,"1,25,76,21,191",14.33
29-01-2011,6688,1823.05,5.43%,"1,25,76,21,191",14.33
30-01-2011,5943,1823.05,5.43%,"1,25,76,21,191",14.33
31-01-2011,939,1823.05,5.43%,"1,25,76,21,191",14.33
01-02-2011,7590,1823.05,5.43%,"1,25,76,21,191",14.33
02-02-2011,1914,1823.05,5.43%,"1,25,76,21,191",14.33
03-02-2011,2559,1823.05,5.43%,"1,25,76,21,191",14.33
04-02-2011,1887,1823.05,5.43%,"1,25,76,21,191",14.33
05-02-2011,4925,1823.05,5.43%,"1,25,76,21,191",14.33
06-02-2011,1814,1823.05,5.43%,"1,25,76,21,191",14.33
07-02-2011,513,1823.05,5.43%,"1,25,76,21,191",14.33
08-02-2011,2717,1823.05,5.43%,"1,25,76,21,191",14.33
09-02-2011,3652,1823.05,5.43%,"1,25,76,21,191",14.33
10-02-2011,3072,1823.05,5.43%,"1,25,76,21,191",14.33
11-02-2011,1912,1823.05,5.43%,"1,25,76,21,191",14.33
12-02-2011,1003,1823.05,5.43%,"1,25,76,21,191",14.33
13-02-2011,7652,1823.05,5.43%,"1,25,76,21,191",14.33
14-02-2011,1845,1823.05,5.43%,"1,25,76,21,191",14.33
15-02-2011,1601,1823.05,5.43%,"1,25,76,21,191",14.33
16-02-2011,3735,1823.05,5.43%,"1,25,76,21,191",14.33
17-02-2011,5129,1823.05,5.43%,"1,25,76,21,191",14.33
18-02-2011,299,1823.05,5.43%,"1,25,76,21,191",14.33
19-02-2011,6216,1823.05,5.43%,"1,25,76,21,191",14.33
20-02-2011,1953,1823.05,5.43%,"1,25,76,21,191",14.33
21-02-2011,5691,1823.05,5.43%,"1,25,76,21,191",14.33
22-02-2011,5590,1823.05,5.43%,"1,25,76,21,191",14.33
23-02-2011,1402,1823.05,5.43%,"1,25,76,21,191",14.33
24-02-2011,3491,1823.05,5.43%,"1,25,76,21,191",14.33
25-02-2011,6231,1823.05,5.43%,"1,25,76,21,191",14.33
26-02-2011,6113,1823.05,5.43%,"1,25,76,21,191",14.33
27-02-2011,1464,1823.05,5.43%,"1,25,76,21,191",14.33
28-02-2011,3338,1823.05,5.43%,"1,25,76,21,191",14.33
01-03-2011,5454,1823.05,5.43%,"1,25,76,21,191",14.33
02-03-2011,7204,1823.05,5.43%,"1,25,76,21,191",14.33
03-03-2011,7588,1823.05,5.43%,"1,25,76,21,191",14.33
04-03-2011,4454,1823.05,5.43%,"1,25,76,21,191",14.33
05-03-2011,4281,1823.05,5.43%,"1,25,76,21,191",14.33
06-03-2011,2297,1823.05,5.43%,"1,25,76,21,191",14.33
07-03-2011,1846,1823.05,5.43%,"1,25,76,21,191",14.33
08-03-2011,6073,1823.05,5.43%,"1,25,76,21,191",14.33
09-03-2011,6109,1823.05,5.43%,"1,25,76,21,191",14.33
10-03-2011,6477,1823.05,5.43%,"1,25,76,21,191",14.33
11-03-2011,6226,1823.05,5.43%,"1,25,76,21,191",14.33
12-03-2011,2626,1823.05,5.43%,"1,25,76,21,191",14.33
13-03-2011,6693,1823.05,5.43%,"1,25,76,21,191",14.33
14-03-2011,1698,1823.05,5.43%,"1,25,76,21,191",14.33
15-03-2011,3982,1823.05,5.43%,"1,25,76,21,191",14.33
16-03-2011,1645,1823.05,5.43%,"1,25,76,21,191",14.33
17-03-2011,5848,1823.05,5.43%,"1,25,76,21,191",14.33
18-03-2011,824,1823.05,5.43%,"1,25,76,21,191",14.33
19-03-2011,1342,1823.05,5.43%,"1,25,76,21,191",14.33
20-03-2011,581,1823.05,5.43%,"1,25,76,21,191",14.33
21-03-2011,1906,1823.05,5.43%,"1,25,76,21,191",14.33
22-03-2011,7910,1823.05,5.43%,"1,25,76,21,191",14.33
23-03-2011,2320,1823.05,5.43%,"1,25,76,21,191",14.33
24-03-2011,7283,1823.05,5.43%,"1,25,76,21,191",14.33
25-03-2011,2316,1823.05,5.43%,"1,25,76,21,191",14.33
26-03-2011,6993,1823.05,5.43%,"1,25,76,21,191",14.33
27-03-2011,4148,1823.05,5.43%,"1,25,76,21,191",14.33
28-03-2011,5076,1823.05,5.43%,"1,25,76,21,191",14.33
29-03-2011,7922,1823.05,5.43%,"1,25,76,21,191",14.33
30-03-2011,1174,1823.05,5.43%,"1,25,76,21,191",14.33
31-03-2011,464,1823.05,5.43%,"1,25,76,21,191",14.33
01-04-2011,4176,1823.05,5.43%,"1,25,76,21,191",14.33
02-04-2011,1314,1823.05,5.43%,"1,25,76,21,191",14.33
03-04-2011,1947,1823.05,5.43%,"1,25,76,21,191",14.33
04-04-2011,2226,1823.05,5.43%,"1,25,76,21,191",14.33
05-04-2011,3159,1823.05,5.43%,"1,25,76,21,191",14.33
06-04-2011,6244,1823.05,5.43%,"1,25,76,21,191",14.33
07-04-2011,7436,1823.05,5.43%,"1,25,76,21,191",14.33
08-04-2011,6742,1823.05,5.43%,"1,25,76,21,191",14.33
09-04-2011,483,1823.05,5.43%,"1,25,76,21,191",14.33
10-04-2011,3840,1823.05,5.43%,"1,25,76,21,191",14.33
11-04-2011,2471,1823.05,5.43%,"1,25,76,21,191",14.33
12-04-2011,2651,1823.05,5.43%,"1,25,76,21,191",14.33
13-04-2011,3096,1823.05,5.43%,"1,25,76,21,191",14.33
14-04-2011,2764,1823.05,5.43%,"1,25,76,21,191",14.33
15-04-2011,1836,1823.05,5.43%,"1,25,76,21,191",14.33
16-04-2011,4836,1823.05,5.43%,"1,25,76,21,191",14.33
17-04-2011,2900,1823.05,5.43%,"1,25,76,21,191",14.33
18-04-2011,2501,1823.05,5.43%,"1,25,76,21,191",14.33
19-04-2011,610,1823.05,5.43%,"1,25,76,21,191",14.33
20-04-2011,2319,1823.05,5.43%,"1,25,76,21,191",14.33
21-04-2011,7155,1823.05,5.43%,"1,25,76,21,191",14.33
22-04-2011,1433,1823.05,5.43%,"1,25,76,21,191",14.33
23-04-2011,697,1823.05,5.43%,"1,25,76,21,191",14.33
24-04-2011,6149,1823.05,5.43%,"1,25,76,21,191",14.33
25-04-2011,5382,1823.05,5.43%,"1,25,76,21,191",14.33
26-04-2011,6956,1823.05,5.43%,"1,25,76,21,191",14.33
27-04-2011,4706,1823.05,5.43%,"1,25,76,21,191",14.33
28-04-2011,6323,1823.05,5.43%,"1,25,76,21,191",14.33
29-04-2011,7336,1823.05,5.43%,"1,25,76,21,191",14.33
30-04-2011,1214,1823.05,5.43%,"1,25,76,21,191",14.33
01-05-2011,4192,1823.05,5.43%,"1,25,76,21,191",14.33
02-05-2011,6271,1823.05,5.43%,"1,25,76,21,191",14.33
03-05-2011,5365,1823.05,5.43%,"1,25,76,21,191",14.33
04-05-2011,7103,1823.05,5.43%,"1,25,76,21,191",14.33
05-05-2011,7786,1823.05,5.43%,"1,25,76,21,191",14.33
06-05-2011,7331,1823.05,5.43%,"1,25,76,21,191",14.33
07-05-2011,7574,1823.05,5.43%,"1,25,76,21,191",14.33
08-05-2011,3354,1823.05,5.43%,"1,25,76,21,191",14.33
09-05-2011,4439,1823.05,5.43%,"1,25,76,21,191",14.33
10-05-2011,2605,1823.05,5.43%,"1,25,76,21,191",14.33
11-05-2011,504,1823.05,5.43%,"1,25,76,21,191",14.33
12-05-2011,6064,1823.05,5.43%,"1,25,76,21,191",14.33
13-05-2011,7826,1823.05,5.43%,"1,25,76,21,191",14.33
14-05-2011,6499,1823.05,5.43%,"1,25,76,21,191",14.33
15-05-2011,1946,1823.05,5.43%,"1,25,76,21,191",14.33
16-05-2011,1942,1823.05,5.43%,"1,25,76,21,191",14.33
17-05-2011,5544,1823.05,5.43%,"1,25,76,21,191",14.33
18-05-2011,5920,1823.05,5.43%,"1,25,76,21,191",14.33
19-05-2011,5632,1823.05,5.43%,"1,25,76,21,191",14.33
20-05-2011,1152,1823.05,5.43%,"1,25,76,21,191",14.33
21-05-2011,1216,1823.05,5.43%,"1,25,76,21,191",14.33
22-05-2011,2151,1823.05,5.43%,"1,25,76,21,191",14.33
23-05-2011,3941,1823.05,5.43%,"1,25,76,21,191",14.33
24-05-2011,6413,1823.05,5.43%,"1,25,76,21,191",14.33
25-05-2011,733,1823.05,5.43%,"1,25,76,21,191",14.33
26-05-2011,2582,1823.05,5.43%,"1,25,76,21,191",14.33
27-05-2011,7152,1823.05,5.43%,"1,25,76,21,191",14.33
28-05-2011,5973,1823.05,5.43%,"1,25,76,21,191",14.33
29-05-2011,7138,1823.05,5.43%,"1,25,76,21,191",14.33
30-05-2011,4139,1823.05,5.43%,"1,25,76,21,191",14.33
31-05-2011,1507,1823.05,5.43%,"1,25,76,21,191",14.33
01-06-2011,756,1823.05,5.43%,"1,25,76,21,191",14.33
02-06-2011,2661,1823.05,5.43%,"1,25,76,21,191",14.33
03-06-2011,4612,1823.05,5.43%,"1,25,76,21,191",14.33
04-06-2011,6640,1823.05,5.43%,"1,25,76,21,191",14.33
05-06-2011,2652,1823.05,5.43%,"1,25,76,21,191",14.33
06-06-2011,1060,1823.05,5.43%,"1,25,76,21,191",14.33
07-06-2011,6880,1823.05,5.43%,"1,25,76,21,191",14.33
08-06-2011,2472,1823.05,5.43%,"1,25,76,21,191",14.33
09-06-2011,3282,1823.05,5.43%,"1,25,76,21,191",14.33
10-06-2011,7850,1823.05,5.43%,"1,25,76,21,191",14.33
11-06-2011,4409,1823.05,5.43%,"1,25,76,21,191",14.33
12-06-2011,1439,1823.05,5.43%,"1,25,76,21,191",14.33
13-06-2011,5711,1823.05,5.43%,"1,25,76,21,191",14.33
14-06-2011,5961,1823.05,5.43%,"1,25,76,21,191",14.33
15-06-2011,4885,1823.05,5.43%,"1,25,76,21,191",14.33
16-06-2011,6917,1823.05,5.43%,"1,25,76,21,191",14.33
17-06-2011,2478,1823.05,5.43%,"1,25,76,21,191",14.33
18-06-2011,3026,1823.05,5.43%,"1,25,76,21,191",14.33
19-06-2011,7802,1823.05,5.43%,"1,25,76,21,191",14.33
20-06-2011,1907,1823.05,5.43%,"1,25,76,21,191",14.33
21-06-2011,6932,1823.05,5.43%,"1,25,76,21,191",14.33
22-06-2011,7805,1823.05,5.43%,"1,25,76,21,191",14.33
23-06-2011,759,1823.05,5.43%,"1,25,76,21,191",14.33
24-06-2011,5213,1823.05,5.43%,"1,25,76,21,191",14.33
25-06-2011,7671,1823.05,5.43%,"1,25,76,21,191",14.33
26-06-2011,1710,1823.05,5.43%,"1,25,76,21,191",14.33
27-06-2011,5788,1823.05,5.43%,"1,25,76,21,191",14.33
28-06-2011,1135,1823.05,5.43%,"1,25,76,21,191",14.33
29-06-2011,7543,1823.05,5.43%,"1,25,76,21,191",14.33
30-06-2011,7938,1823.05,5.43%,"1,25,76,21,191",14.33
01-07-2011,6368,1823.05,5.43%,"1,25,76,21,191",14.33
02-07-2011,4910,1823.05,5.43%,"1,25,76,21,191",14.33
03-07-2011,1651,1823.05,5.43%,"1,25,76,21,191",14.33
04-07-2011,3548,1823.05,5.43%,"1,25,76,21,191",14.33
05-07-2011,1634,1823.05,5.43%,"1,25,76,21,191",14.33
06-07-2011,2689,1823.05,5.43%,"1,25,76,21,191",14.33
07-07-2011,3968,1823.05,5.43%,"1,25,76,21,191",14.33
08-07-2011,5771,1823.05,5.43%,"1,25,76,21,191",14.33
09-07-2011,6356,1823.05,5.43%,"1,25,76,21,191",14.33
10-07-2011,6660,1823.05,5.43%,"1,25,76,21,191",14.33
11-07-2011,2486,1823.05,5.43%,"1,25,76,21,191",14.33
12-07-2011,1143,1823.05,5.43%,"1,25,76,21,191",14.33
13-07-2011,2712,1823.05,5.43%,"1,25,76,21,191",14.33
14-07-2011,3721,1823.05,5.43%,"1,25,76,21,191",14.33
15-07-2011,2546,1823.05,5.43%,"1,25,76,21,191",14.33
16-07-2011,895,1823.05,5.43%,"1,25,76,21,191",14.33
17-07-2011,7718,1823.05,5.43%,"1,25,76,21,191",14.33
